feature,shap_importance
Sex,1.950045767639115
Name_master,0.857373699337092
Pclass_diff_Parch,0.4924351535261117
Pclass,0.4494300185471695
Parch_multiply_Age,0.4020014937019382
Parch_ratio_Pclass,0.36990247792673214
Ticket_347082,0.24593951926689556
Name_mrs,0.2369633981903324
SibSp_ratio_Parch,0.22438879996394964
Cabin,0.17134593161803324
Fare,0.15822047418381807
Name_mr,0.15746901138555278
Name_andersson,0.14418566576148747
Name_kate,0.13951156926589425
Pclass_ratio_Parch,0.13268408909950918
Name_alice,0.11853280849822213
Name_miss,0.11263636690491427
Ticket_pc,0.11246423035118096
Ticket_113806,0.109054724391428
Name_ernest,0.10626044338482722
Name_bertha,0.1035712664691466
Name_alfred,0.1027579528865007
Parch_sum_Pclass,0.10066415484979879
Name_richard,0.09998344630136792
Ticket_3101295,0.09958597480497193
Ticket_pp,0.0988677156246041
SibSp,0.09785233601348427
Ticket_113760,0.09518053655882187
Name_john,0.09409209441543916
Name_anna,0.08843586757529492
Name_carl,0.08533720472189697
Ticket_11751,0.08182127024886755
Name_bourke,0.08062833312231589
Name_frederick,0.07958498934979749
Ticket_113781,0.07823961939278044
PassengerId,0.07760090618268635
Ticket_ston,0.07759704446483098
Ticket_1601,0.07734005822586133
Ticket_2653,0.07125292208490448
Ticket_347742,0.07085805961434777
Name_anne,0.07040291005611357
Ticket_19943,0.06829111724398675
Name_johan,0.06668461136786068
Name_eugene,0.06564132336228935
Name_jane,0.0655008380941045
Ticket_239853,0.06541191192938053
Ticket_347077,0.06499246300906346
Ticket_382652,0.06457258585871398
Name_samuel,0.06456181571601939
Ticket_ca,0.06445723706965165
Name_joseph,0.06281175218893825
Ticket_3336,0.06186366865276853
Age_multiply_Pclass,0.06031701485649653
Name_rice,0.05858917608396354
Name_hanna,0.058109685733877835
Name_albert,0.05751054047629182
Name_thomas,0.057219215469752956
Name_arthur,0.054921292021598254
Parch_ratio_SibSp,0.053394051936841845
Name_henry,0.05250997952917467
Parch,0.051925427629336815
Ticket_11967,0.05167302585793436
Name_norman,0.04887184547868759
Name_ida,0.04765387080066445
Embarked,0.04591191494552938
Name_frank,0.044164127300821976
Ticket_230080,0.042158052088111866
Name_jr,0.041872823678769065
Name_marie,0.04153194551333876
Name_johansson,0.041250036594859714
Ticket_2627,0.04064666024597786
Ticket_220845,0.03954884709971977
Name_bertram,0.03925624726542858
Parch_sum_Age,0.03900968954050274
Ticket_4133,0.038774268871515014
Ticket_17604,0.037823612325375795
Ticket_113776,0.03781822300047704
Ticket_17755,0.037559317014679273
Name_borland,0.03751235076405966
Ticket_2144,0.03702109844300584
Name_goodwin,0.03697614055751289
Ticket_363291,0.03567805714310612
Name_dr,0.035501622009340414
Ticket_230433,0.03483461548750577
Age_diff_SibSp,0.03441211957738928
Ticket_13507,0.03412270712970093
Name_lillian,0.032564765504136894
Name_victor,0.03251163051874401
Name_ernst,0.03185186505444291
Ticket_13502,0.03065514817454361
Ticket_6608,0.030472190442918875
Name_leonard,0.030393772342033724
Ticket_17421,0.02997544838136799
Ticket_soton,0.029804208256882434
Ticket_111361,0.029348784385722547
Ticket_2699,0.029204778226288197
Ticket_113572,0.029186707071802948
Name_campbell,0.028864735534671598
Name_laroche,0.028842851077542492
Ticket_oq,0.027659045552849308
Ticket_14879,0.0275655641235479
Name_edward,0.027534234090481904
Ticket_sc,0.02738733086380441
Ticket_349213,0.027360315338240068
Name_van,0.026528678074028363
Ticket_2315,0.02648101402772213
Ticket_349246,0.026363389061789137
Name_ethel,0.02530889514547285
Name_elizabeth,0.025086254654254972
Ticket_248738,0.024942652701393543
Ticket_349207,0.02474624948432366
Age,0.024618763524580083
Ticket_17572,0.024462822610361454
Ticket_345767,0.024321779954923645
Name_charles,0.023192604047259997
Ticket_ah,0.02294874745004657
Name_karl,0.022860510096677736
Ticket_13529,0.022652523275135242
Ticket_31027,0.022012765082864625
Name_alexander,0.02188928194049305
Ticket_330877,0.02071030070833849
Name_george,0.02070721797818331
Name_sidney,0.020460019128120052
Ticket_paris,0.01989946099823773
Name_margaret,0.018943883112728387
Name_maria,0.018593045234515587
Name_carter,0.018359531847534614
Ticket_367230,0.01745603475508367
Ticket_250655,0.017347367876541755
Name_patrick,0.017319983951330102
Name_james,0.0170241466864228
Name_sofia,0.01693846643589837
Name_catherine,0.016449433862978695
Name_thayer,0.016275611082077562
Name_william,0.0158804876823038
Name_percival,0.013893184961375645
Name_harry,0.012977904871976231
Name_hansen,0.012810284647168354
Ticket_364849,0.011349299259660727
Ticket_2343,0.011228391776186175
Name_martha,0.011116597973318262
Name_elisabeth,0.011074227334574905
Name_olsen,0.010840647772809936
Ticket_17757,0.010836656144484202
Name_sage,0.01021302059068497
Name_francis,0.010138281312177798
Ticket_17582,0.009522743749640626
Ticket_2123,0.00922864851744232
Name_hart,0.007492929408718913
Name_moran,0.006690538987917166
Ticket_34651,0.006052825921081512
Name_martin,0.004367623073917264
Name_robert,0.004256210392836316
Name_hugh,0.004249165444446153
Ticket_19950,0.004092206099229353
Ticket_o2,0.003987145858459312
Name_peter,0.003816050135810563
Name_harris,0.003758192473274187
Name_brown,0.0034170914308735687
Name_fortune,0.0030175839422790585
Ticket_371110,0.0023575013440000243
Name_daniel,0.0019401819883679585
Name_mary,0.0014892962595021838
Name_august,0.0005464630612937003
Name_williams,0.0002669503055481002
Ticket_2666,5.833191162921052e-17
Name_arnold,4.984040699248755e-17
Name_oskar,4.9346781982421553e-17
Name_edith,4.508241980598558e-17
Name_emily,3.287354314711346e-17
Ticket_110152,3.2101824257975484e-17
Ticket_17453,2.948704759964596e-17
Ticket_24160,2.934545286651249e-17
Ticket_11668,2.868989237787866e-17
Ticket_2668,2.389124132205902e-17
Name_david,2.2286483172491084e-17
