Learner 1,counter
0.2463075412103921,0
0.2034197678816043,0
0.0570717459183009,0
0.0537311681919976,0
0.0223657676670831,0
0.0133823478042265,0
0.0083032581242215,0
0.0078920304013651,0
0.0034475918226693,0
0.0023685730089731,0
0.0014819812036704,0
0.0002840538319994,0
0.0002494561463972,0
0.0002355748744246,0
5.551115123125783e-17,1
4.440892098500626e-17,1
4.440892098500626e-17,1
4.440892098500626e-17,1
4.440892098500626e-17,1
4.440892098500626e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
3.3306690738754695e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
2.220446049250313e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
1.1102230246251566e-17,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-5.473474457045047e-05,1
-0.0003029183508372,1
-0.0008902249068964,1
-0.0011362153279976,1
-0.0016422316163672,1
