feature,mean_importance
Name_albert,-0.0011342768727091502
Name_thomas,-3.3306690738754695e-17
Name_robert,0.0007013797503498065
Name_mrs,0.0009756337767362622
Parch_sum_Pclass,0.005994574204984305
Ticket_113781,0.008714884003186374
Name_master,0.008882986383091318
Ticket_ston,0.012275611620327387
Cabin,0.01403887401060443
Fare,0.03510647766835638
Ticket_1601,0.03591510510863265
Sex,0.129775906886451
Name_mr,0.13427156482529704
Pclass,0.1403256323033017
