feature,shap_importance
Ticket_oq,0.021163065652614034
Name_carter,0.021096358854956334
Name_charles,0.020930592438084854
Ticket_330877,0.02046180795320555
Ticket_31027,0.019949392200943803
Name_sidney,0.019294458839572533
Name_james,0.017939845410906503
Name_maria,0.017898610046752816
Name_margaret,0.017609959779125245
Ticket_250655,0.01719667162543381
Name_catherine,0.017138884701000674
Ticket_367230,0.01639463300724239
Name_sofia,0.016178499590905174
Name_alexander,0.015504611270295893
Name_patrick,0.015040595263884259
Name_percival,0.013671004670440575
Name_thayer,0.013435565674842201
Ticket_2343,0.013041850774111574
Name_hansen,0.012098628446481864
Name_sage,0.011745199220248142
Name_martha,0.010586822928548444
Ticket_17582,0.01040430898431669
Name_olsen,0.010348371084545725
Ticket_364849,0.009788114557080658
Name_hart,0.007608943912452892
Name_elisabeth,0.00734504926635303
Name_brown,0.0067663996224027675
Ticket_2123,0.006456365617765246
Name_william,0.006418020787466794
Name_moran,0.0062311659801242035
Age,0.0055854543016273924
Name_peter,0.005509872702076884
Name_harry,0.0054990095418914675
Name_fortune,0.004810704955616379
Name_robert,0.004757197357615177
Ticket_o2,0.004428466466357139
Fare,0.003942424014367464
Name_hugh,0.0039066315920330665
Name_harris,0.0032262972980261944
Ticket_371110,0.0025791206758809995
Name_martin,0.0025541354203757567
Ticket_34651,0.002465296531357859
Name_daniel,0.001885550552766359
Ticket_19950,0.0016925899152683316
Name_mary,0.0008579786601001009
Name_francis,0.0007471979410332553
Name_williams,0.00014657086414211702
Name_august,7.090127095775246e-05
Ticket_2666,5.450149484881766e-17
Name_oskar,4.9756698214954256e-17
Name_arnold,4.784980040890775e-17
Name_edith,4.3377690354279366e-17
Name_emily,3.1547874951500033e-17
Ticket_17453,3.017806847803304e-17
Ticket_110152,2.9017627083858083e-17
Ticket_11668,2.840463193107595e-17
Ticket_24160,2.801841644935649e-17
Ticket_2668,2.3675780682013913e-17
Ticket_349909,2.2664612116545135e-17
Ticket_3101278,2.248313439419096e-17
Name_anders,2.18124717009381e-17
