feature,mean_importance
Name_joseph,3.3306690738754695e-17
Ticket_2144,3.3306690738754695e-17
Ticket_230433,3.3306690738754695e-17
Ticket_paris,3.3306690738754695e-17
Ticket_250655,3.3306690738754695e-17
Name_jane,3.3306690738754695e-17
Name_richard,3.3306690738754695e-17
Name_percival,3.3306690738754695e-17
Ticket_9549,3.3306690738754695e-17
Name_alice,3.3306690738754695e-17
Ticket_31027,3.3306690738754695e-17
Name_anders,3.3306690738754695e-17
Name_martha,3.3306690738754695e-17
Name_margaret,3.3306690738754695e-17
Name_laroche,3.3306690738754695e-17
Ticket_364849,4.4408920985006264e-17
Ticket_345767,4.4408920985006264e-17
Name_thayer,5.551115123125783e-17
Age,4.044649574543868e-05
Name_mrs,0.00019891039337107674
Name_robert,0.00028405383199946453
Name_victor,0.001033245129178173
Name_thomas,0.0023685730089731626
Ticket_17755,0.007656213784039134
Ticket_113781,0.008638090678258048
Name_master,0.009414723771546885
Ticket_ston,0.012710026578500854
Cabin,0.025774722619833167
Ticket_1601,0.035568064007400965
Fare,0.05675672026847017
Sex,0.06016143664910467
Pclass,0.20395894634658968
Name_mr,0.2523053446016326
